iter	Passed	Remaining
249	767	2301
250	769	2297
251	772	2293
252	775	2288
253	777	2283
254	780	2279
255	782	2274
256	785	2271
257	788	2266
258	790	2261
259	793	2257
260	795	2252
261	797	2247
262	800	2242
263	802	2237
264	805	2234
265	808	2230
266	810	2225
267	813	2221
268	816	2219
269	819	2216
270	822	2212
271	824	2207
272	827	2203
273	829	2197
274	831	2192
275	833	2187
276	836	2182
277	839	2179
278	841	2174
279	844	2170
280	846	2166
281	849	2162
282	851	2156
283	853	2152
284	856	2148
285	858	2143
286	860	2138
287	863	2133
288	865	2128
289	868	2125
290	870	2120
291	872	2116
292	875	2112
293	877	2108
294	880	2104
295	882	2099
296	884	2094
297	887	2089
298	889	2085
299	891	2081
300	894	2077
301	897	2073
302	899	2069
303	902	2065
304	904	2061
305	907	2059
306	910	2055
307	912	2050
308	914	2045
309	917	2041
310	919	2036
311	921	2032
312	924	2030
313	927	2025
314	929	2020
315	932	2018
316	935	2014
317	937	2010
318	939	2006
319	941	2001
320	944	1997
321	946	1992
322	948	1988
323	950	1983
324	952	1979
325	955	1975
326	957	1971
327	960	1968
328	963	1964
329	965	1960
330	967	1956
331	970	1951
332	972	1948
333	975	1944
334	977	1939
335	979	1935
336	983	1934
337	986	1933
338	989	1929
339	992	1925
340	995	1923
341	997	1919
342	999	1914
343	1001	1910
344	1003	1905
345	1006	1901
346	1008	1897
347	1011	1894
348	1013	1889
349	1015	1885
350	1017	1881
351	1020	1877
352	1022	1874
353	1025	1871
354	1028	1868
355	1031	1865
356	1033	1861
357	1035	1857
358	1037	1853
359	1040	1849
360	1042	1844
361	1044	1841
362	1047	1838
363	1050	1835
364	1052	1831
365	1054	1826
366	1057	1823
367	1060	1820
368	1062	1817
369	1064	1812
370	1066	1808
371	1068	1804
372	1070	1800
373	1072	1795
374	1075	1791
375	1077	1787
376	1079	1783
377	1081	1779
378	1084	1777
379	1086	1772
380	1088	1768
381	1090	1764
382	1092	1760
383	1095	1756
384	1097	1752
385	1099	1748
386	1101	1745
387	1104	1741
388	1106	1737
389	1108	1734
390	1110	1730
391	1113	1726
392	1116	1723
393	1118	1720
394	1121	1717
395	1123	1713
396	1125	1709
397	1127	1705
398	1129	1701
399	1131	1697
400	1134	1694
401	1136	1690
402	1138	1687
403	1141	1683
404	1143	1679
405	1145	1676
406	1148	1673
407	1151	1670
408	1153	1666
409	1155	1663
410	1157	1659
411	1160	1655
412	1162	1651
413	1164	1648
414	1166	1644
415	1168	1641
416	1171	1637
417	1173	1634
418	1175	1630
419	1177	1626
420	1181	1625
421	1184	1622
422	1186	1618
423	1188	1615
424	1191	1611
425	1193	1608
426	1196	1605
427	1198	1601
428	1200	1597
429	1203	1595
430	1205	1591
431	1208	1588
432	1211	1585
433	1213	1583
434	1216	1580
435	1219	1577
436	1221	1574
437	1224	1570
438	1226	1567
439	1229	1564
440	1232	1562
441	1234	1558
442	1236	1554
443	1238	1551
444	1240	1547
445	1243	1544
446	1245	1540
447	1247	1537
448	1249	1533
449	1251	1529
450	1254	1526
451	1256	1523
452	1258	1519
453	1261	1516
454	1264	1514
455	1266	1510
456	1268	1506
457	1270	1503
458	1272	1500
459	1275	1496
460	1277	1493
461	1279	1489
462	1281	1486
463	1283	1482
464	1285	1479
465	1288	1475
466	1290	1472
467	1292	1469
468	1295	1467
469	1298	1464
470	1300	1460
471	1302	1456
472	1304	1453
473	1307	1450
474	1309	1447
475	1311	1444
476	1314	1440
477	1316	1437
478	1318	1434
479	1320	1430
480	1322	1426
481	1324	1423
482	1326	1420
483	1329	1417
484	1331	1414
485	1334	1410
486	1336	1407
487	1338	1404
488	1340	1400
489	1342	1397
490	1345	1394
491	1347	1391
492	1350	1388
493	1352	1385
494	1354	1382
495	1357	1379
496	1360	1376
497	1364	1375
498	1366	1372
499	1369	1369
500	1371	1366
501	1373	1362
502	1376	1359
503	1378	1356
504	1381	1353
505	1384	1351
506	1388	1350
507	1391	1347
508	1394	1344
509	1396	1341
510	1399	1338
511	1401	1335
512	1404	1333
513	1408	1331
514	1411	1328
515	1414	1326
516	1416	1323
517	1419	1320
518	1421	1317
519	1423	1314
520	1426	1311
521	1428	1308
522	1431	1305
523	1434	1302
524	1436	1299
525	1438	1296
526	1441	1293
527	1443	1290
528	1446	1287
529	1449	1285
530	1453	1283
531	1456	1280
532	1459	1278
533	1461	1275
534	1463	1272
535	1465	1268
536	1468	1265
537	1470	1262
538	1472	1259
539	1474	1256
540	1477	1253
541	1479	1250
542	1482	1247
543	1484	1244
544	1487	1241
545	1490	1239
546	1493	1236
547	1495	1233
548	1497	1229
549	1499	1226
550	1501	1223
551	1504	1220
552	1505	1217
553	1508	1214
554	1510	1211
555	1512	1207
556	1514	1204
557	1517	1202
558	1520	1199
559	1522	1196
560	1524	1192
561	1526	1189
562	1528	1186
563	1531	1183
564	1534	1181
565	1536	1178
566	1539	1175
567	1541	1172
568	1543	1169
569	1546	1166
570	1549	1163
571	1551	1160
572	1554	1158
573	1556	1155
574	1561	1153
575	1564	1151
576	1567	1148
577	1569	1145
578	1571	1142
579	1573	1139
580	1576	1136
581	1578	1133
582	1581	1130
583	1583	1127
584	1585	1124
585	1587	1121
586	1589	1118
587	1591	1115
588	1594	1112
589	1596	1109
590	1599	1107
591	1601	1103
592	1603	1100
593	1605	1097
594	1607	1093
595	1609	1090
596	1611	1088
597	1614	1085
598	1617	1082
599	1619	1079
600	1620	1076
601	1622	1072
602	1625	1069
603	1627	1066
604	1629	1063
605	1632	1061
606	1634	1058
607	1636	1055
608	1638	1051
609	1640	1048
610	1642	1046
611	1645	1043
612	1648	1040
613	1650	1037
614	1652	1034
615	1655	1031
616	1656	1028
617	1658	1025
618	1661	1022
619	1663	1019
620	1665	1016
621	1667	1013
622	1669	1010
623	1671	1006
624	1673	1003
625	1675	1001
626	1677	997
627	1679	995
628	1681	991
629	1683	988
630	1685	985
631	1687	982
632	1690	980
633	1692	977
634	1694	973
635	1696	970
636	1698	968
637	1701	965
638	1704	962
639	1706	960
640	1709	957
641	1711	954
642	1714	951
643	1716	948
644	1719	946
645	1722	943
646	1724	940
647	1726	937
648	1729	935
649	1732	932
650	1735	930
651	1738	927
652	1741	925
653	1743	922
654	1747	920
655	1749	917
656	1752	915
657	1755	912
658	1757	909
659	1761	907
660	1764	905
661	1767	902
662	1770	899
663	1773	897
664	1776	894
665	1778	892
666	1781	889
667	1784	886
668	1787	884
669	1790	881
670	1792	879
671	1795	876
672	1797	873
673	1799	870
674	1802	867
675	1804	864
676	1807	862
677	1809	859
678	1811	856
679	1813	853
680	1816	850
681	1818	847
682	1820	844
683	1822	841
684	1824	838
685	1826	835
686	1828	832
687	1830	829
688	1832	826
689	1834	824
690	1836	821
691	1838	818
692	1841	815
693	1843	812
694	1846	810
695	1848	807
696	1850	804
697	1852	801
698	1854	798
699	1856	795
700	1857	792
701	1859	789
702	1861	786
703	1863	783
704	1866	780
705	1868	777
706	1870	775
707	1872	772
708	1875	769
709	1877	766
710	1879	763
711	1881	760
712	1883	758
713	1884	755
714	1886	752
715	1888	749
716	1890	746
717	1892	743
718	1894	740
719	1896	737
720	1898	734
721	1900	731
722	1902	728
723	1904	726
724	1908	723
725	1910	721
726	1912	718
727	1915	715
728	1917	712
729	1919	709
730	1921	706
731	1923	704
732	1925	701
733	1927	698
734	1929	695
735	1931	692
736	1934	690
737	1936	687
738	1938	684
739	1941	682
740	1943	679
741	1945	676
742	1948	673
743	1951	671
744	1953	668
745	1955	665
746	1958	663
747	1960	660
748	1963	658
749	1966	655
750	1969	652
751	1972	650
752	1974	647
753	1976	644
754	1978	642
755	1981	639
756	1983	636
757	1985	633
758	1987	631
759	1990	628
760	1992	625
761	1994	622
762	1997	620
763	1999	617
764	2001	614
765	2004	612
766	2007	609
767	2009	607
768	2011	604
769	2012	601
770	2014	598
771	2017	595
772	2019	593
773	2021	590
774	2023	587
775	2026	584
776	2029	582
777	2032	580
778	2035	577
779	2037	574
780	2040	572
781	2042	569
782	2045	566
783	2047	564
784	2050	561
785	2052	558
786	2055	556
787	2057	553
788	2060	551
789	2064	548
790	2066	546
791	2069	543
792	2071	540
793	2073	538
794	2076	535
795	2078	532
796	2081	530
797	2083	527
798	2085	524
799	2088	522
800	2090	519
801	2094	517
802	2096	514
803	2099	511
804	2101	509
805	2105	506
806	2107	504
807	2110	501
808	2112	498
809	2114	496
810	2117	493
811	2120	490
812	2122	488
813	2126	485
814	2129	483
815	2132	480
816	2134	478
817	2137	475
818	2139	472
819	2142	470
820	2145	467
821	2148	465
822	2151	462
823	2154	460
824	2157	457
825	2159	454
826	2163	452
827	2166	450
828	2169	447
829	2172	444
830	2174	442
831	2177	439
832	2180	437
833	2183	434
834	2186	432
835	2189	429
836	2192	426
837	2194	424
838	2197	421
839	2200	419
840	2203	416
841	2206	414
842	2209	411
843	2211	408
844	2214	406
845	2216	403
846	2219	400
847	2221	398
848	2223	395
849	2226	392
850	2228	390
851	2230	387
852	2233	384
853	2235	382
854	2237	379
855	2239	376
856	2241	374
857	2243	371
858	2247	368
859	2249	366
860	2251	363
861	2253	360
862	2257	358
863	2260	355
864	2262	353
865	2264	350
866	2266	347
867	2268	345
868	2271	342
869	2274	339
870	2276	337
871	2278	334
872	2281	331
873	2283	329
874	2286	326
875	2289	324
876	2291	321
877	2293	318
878	2296	316
879	2298	313
880	2299	310
881	2302	308
882	2304	305
883	2307	302
884	2309	300
885	2311	297
886	2313	294
887	2316	292
888	2318	289
889	2320	286
890	2322	284
891	2325	281
892	2327	278
893	2329	276
894	2331	273
895	2334	270
896	2336	268
897	2339	265
898	2341	263
899	2343	260
900	2345	257
901	2347	255
902	2350	252
903	2352	249
904	2354	247
905	2356	244
906	2359	241
907	2362	239
908	2364	236
909	2368	234
910	2370	231
911	2373	229
912	2375	226
913	2377	223
914	2380	221
915	2382	218
916	2384	215
917	2388	213
918	2390	210
919	2392	208
920	2395	205
921	2397	202
922	2400	200
923	2403	197
924	2406	195
925	2409	192
926	2411	189
927	2414	187
928	2417	184
929	2419	182
930	2421	179
931	2424	176
932	2426	174
933	2428	171
934	2431	169
935	2433	166
936	2436	163
937	2439	161
938	2441	158
939	2444	156
940	2447	153
941	2450	150
942	2452	148
943	2454	145
944	2458	143
945	2460	140
946	2462	137
947	2465	135
948	2467	132
949	2469	129
950	2472	127
951	2474	124
952	2477	122
953	2480	119
954	2482	116
955	2485	114
956	2488	111
957	2490	109
958	2493	106
959	2495	103
960	2497	101
961	2500	98
962	2502	96
963	2504	93
964	2507	90
965	2510	88
966	2512	85
967	2515	83
968	2517	80
969	2520	77
970	2523	75
971	2525	72
972	2527	70
973	2530	67
974	2532	64
975	2534	62
976	2537	59
977	2539	57
978	2542	54
979	2544	51
980	2546	49
981	2548	46
982	2551	44
983	2554	41
984	2557	38
985	2559	36
986	2562	33
987	2564	31
988	2567	28
989	2569	25
990	2572	23
991	2574	20
992	2576	18
993	2579	15
994	2581	12
995	2585	10
996	2587	7
997	2589	5
998	2592	2
999	2594	0
